host,service,purpose
ejje.weblio.jp,Weblio,Dictionary
dictionary.cambridge.org,Cambridge Dictionary,Dictionary
www.oxfordlearnersdictionaries.com,Oxford Learner's Dictionaries,Dictionary
oxfordlearnersdictionaries.com,Oxford Learner's Dictionaries,Dictionary
